Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guinea-Bissau,GNB,216353.00011455402,231020.99955531102,227354.00064503998,234688.000284212,238355.000090571,245688.99958558503,253023.00053536802,256690.00012371302,271358.000818891,278691.99976517603,293359.99983210897
Equatorial Guinea,GNQ,8181076.997401601,7865714.99979361,6428250.99977556,6776616.000307683,6893960.000333534,9398520.999644762,6985634.999918015,7700699.999767567,7308330.9997282205,6028548.000382424,5654513.999680371
Greece,GRC,97285509.99561128,98246264.00201406,95965389.99585733,91942691.00008486,83856955.99872698,79841591.00502059,80050609.99499005,69474982.00040762,67527805.00307883,65059914.00466437,62434342.0027413
Grenada,GRD,231021.00004612198,238354.99995827003,253022.99996063998,253023.000009279,260356.999970049,253022.999974608,271358.000000938,304360.9999463,234688.00000445,260357.00003905199,267690.999967572
Greenland,GRL,627057.00000162,638057.99990145,660059.99995224,575719.0000647,663726.99971975,707731.0000589,568384.9998632,553717.000024888,506046.00001446,509713.000016802,509712.99999970995
Guatemala,GTM,12405461.00494818,12398127.005075894,11155014.004263885,11606055.00060882,11400703.004552705,11554717.00474479,11884746.99982248,12918840.999290409,13952934.998507416,15834105.99606348,16776525.004649717
Guam,GUM,,,,,,,,,,,
Guyana,GUY,1290783.999720267,1562141.999855196,1558474.999932648,1565808.999680694,1719822.99980544,1782161.999953092,1994848.000272613,1936175.9998264199,2009515.99963302,2016849.9998980558,2383549.999671318
High income,HIC,13800439232.205845,13875575833.13688,13687132597.20594,12955610945.342707,13385297820.988682,13148467698.236906,13065658378.955772,13071380870.181768,12985312237.156359,12909274530.450626,12669307100.15975
"Hong Kong SAR, China",HKG,42056823.0014991,43721640.9998838,42991908.0022154,41745127.9987392,40267327.0024866,43369608.9987588,42980906.9988091,44546715.9985584,45749492.0019,42647209.9967376,43644633.9967274
Honduras,HND,7620026.000529516,8778797.996844133,8672454.99747653,7873048.99748325,8104070.0030052,8789798.997266518,9163832.995903999,9416855.997692192,9508531.003149396,10018243.998414608,9812891.99955267
Heavily indebted poor countries (HIPC),HPC,109720307.1295586,116881958.28118195,121828741.07033664,126141132.9136502,141032819.88683736,153621630.91747957,164310935.7535144,172569019.9743927,188788160.93782556,199382124.2202628,204424248.69510865
